time_min,intervention,PCO2,id,supplement
5,Butorphanol+M5050,82,ID1,nothing
10,Butorphanol+M5050,75,ID1,nothing
15,Butorphanol+M5050,76,ID1,nothing
20,Butorphanol+M5050,73,ID1,nothing
5,Butorphanol+M5050,76,ID2,nothing
10,Butorphanol+M5050,66,ID2,nothing
15,Butorphanol+M5050,59,ID2,nothing
20,Butorphanol+M5050,53,ID2,nothing
5,Butorphanol+M5050,75,ID3,nothing
10,Butorphanol+M5050,63,ID3,nothing
15,Butorphanol+M5050,64,ID3,nothing
20,Butorphanol+M5050,61,ID3,nothing
5,Butorphanol+M5050,89,ID4,nothing
10,Butorphanol+M5050,72,ID4,nothing
15,Butorphanol+M5050,66,ID4,nothing
20,Butorphanol+M5050,62,ID4,nothing
5,Butorphanol+M5050,89,ID5,nothing
10,Butorphanol+M5050,75,ID5,nothing
15,Butorphanol+M5050,60,ID5,nothing
20,Butorphanol+M5050,61,ID5,nothing
5,Butorphanol+M5050,83,ID6,nothing
10,Butorphanol+M5050,79,ID6,nothing
15,Butorphanol+M5050,74,ID6,nothing
20,Butorphanol+M5050,72,ID6,nothing
5,Butorphanol+M5050,71,ID7,nothing
10,Butorphanol+M5050,65,ID7,nothing
15,Butorphanol+M5050,60,ID7,nothing
20,Butorphanol+M5050,61,ID7,nothing
5,Butorphanol+M5050,84,ID8,nothing
10,Butorphanol+M5050,84,ID8,nothing
15,Butorphanol+M5050,73,ID8,nothing
20,Butorphanol+M5050,72,ID8,nothing
5,Butorphanol,77,ID1,nothing
10,Butorphanol,66,ID1,nothing
15,Butorphanol,71,ID1,nothing
20,Butorphanol,68,ID1,nothing
5,Butorphanol,75,ID2,nothing
10,Butorphanol,65,ID2,nothing
15,Butorphanol,67,ID2,nothing
20,Butorphanol,66,ID2,nothing
5,Butorphanol,87,ID3,nothing
10,Butorphanol,63,ID3,nothing
15,Butorphanol,70,ID3,nothing
20,Butorphanol,65,ID3,nothing
5,Butorphanol,82,ID4,nothing
10,Butorphanol,66,ID4,nothing
15,Butorphanol,67,ID4,nothing
20,Butorphanol,69,ID4,nothing
5,Butorphanol,86,ID5,nothing
10,Butorphanol,71,ID5,nothing
15,Butorphanol,69,ID5,nothing
20,Butorphanol,69,ID5,nothing
5,Butorphanol,102,ID6,nothing
10,Butorphanol,74,ID6,nothing
15,Butorphanol,72,ID6,nothing
20,Butorphanol,70,ID6,nothing
5,Butorphanol,80,ID7,nothing
10,Butorphanol,63,ID7,nothing
15,Butorphanol,56,ID7,nothing
20,Butorphanol,64,ID7,nothing
5,Butorphanol,75,ID8,nothing
10,Butorphanol,67,ID8,nothing
15,Butorphanol,70,ID8,nothing
20,Butorphanol,73,ID8,nothing
5,Sterile water,78,ID1,nothing
10,Sterile water,81,ID1,nothing
15,Sterile water,76,ID1,nothing
20,Sterile water,81,ID1,nothing
5,Sterile water,80,ID2,nothing
10,Sterile water,86,ID2,nothing
15,Sterile water,86,ID2,nothing
20,Sterile water,84,ID2,nothing
5,Sterile water,79,ID3,nothing
10,Sterile water,78,ID3,nothing
15,Sterile water,80,ID3,nothing
20,Sterile water,79,ID3,nothing
5,Sterile water,80,ID4,nothing
10,Sterile water,83,ID4,nothing
15,Sterile water,80,ID4,nothing
20,Sterile water,81,ID4,nothing
5,Sterile water,96,ID5,nothing
10,Sterile water,94,ID5,nothing
15,Sterile water,98,ID5,nothing
20,Sterile water,76,ID5,nothing
5,Sterile water,81,ID6,nothing
10,Sterile water,94,ID6,nothing
15,Sterile water,92,ID6,nothing
20,Sterile water,85,ID6,nothing
5,Sterile water,81,ID7,nothing
10,Sterile water,85,ID7,nothing
15,Sterile water,80,ID7,nothing
20,Sterile water,79,ID7,nothing
5,Sterile water,83,ID8,nothing
10,Sterile water,95,ID8,nothing
15,Sterile water,94,ID8,nothing
20,Sterile water,89,ID8,nothing
5,Butorphanol+M5050,83,ID1,oxygen
10,Butorphanol+M5050,89,ID1,oxygen
15,Butorphanol+M5050,76,ID1,oxygen
20,Butorphanol+M5050,79,ID1,oxygen
5,Butorphanol+M5050,80,ID2,oxygen
10,Butorphanol+M5050,74,ID2,oxygen
15,Butorphanol+M5050,69,ID2,oxygen
20,Butorphanol+M5050,66,ID2,oxygen
5,Butorphanol+M5050,74,ID3,oxygen
10,Butorphanol+M5050,68,ID3,oxygen
