time_min,intervention,PCO2,id
5,Butorphanol+M5050,72,ID1
10,Butorphanol+M5050,75,ID1
15,Butorphanol+M5050,73,ID1
20,Butorphanol+M5050,71,ID1
25,Butorphanol+M5050,72,ID1
5,Butorphanol+M5050,67,ID2
10,Butorphanol+M5050,61,ID2
15,Butorphanol+M5050,60,ID2
20,Butorphanol+M5050,60,ID2
25,Butorphanol+M5050,61,ID2
5,Butorphanol+M5050,70,ID3
10,Butorphanol+M5050,72,ID3
15,Butorphanol+M5050,67,ID3
20,Butorphanol+M5050,65,ID3
25,Butorphanol+M5050,67,ID3
5,Butorphanol+M5050,65,ID4
10,Butorphanol+M5050,57,ID4
15,Butorphanol+M5050,55,ID4
20,Butorphanol+M5050,56,ID4
25,Butorphanol+M5050,56,ID4
5,Butorphanol+M5050,82,ID5
10,Butorphanol+M5050,67,ID5
15,Butorphanol+M5050,56,ID5
20,Butorphanol+M5050,56,ID5
25,Butorphanol+M5050,56,ID5
5,Butorphanol+M5050,67,ID6
10,Butorphanol+M5050,60,ID6
15,Butorphanol+M5050,58,ID6
20,Butorphanol+M5050,60,ID6
25,Butorphanol+M5050,61,ID6
5,Butorphanol+M5050,66,ID7
10,Butorphanol+M5050,58,ID7
15,Butorphanol+M5050,59,ID7
20,Butorphanol+M5050,61,ID7
25,Butorphanol+M5050,63,ID7
5,Butorphanol+M5050,64,ID8
10,Butorphanol+M5050,65,ID8
15,Butorphanol+M5050,66,ID8
20,Butorphanol+M5050,53,ID8
25,Butorphanol+M5050,69,ID8
5,Butorphanol,70,ID9
10,Butorphanol,48,ID9
15,Butorphanol,52,ID9
20,Butorphanol,56,ID9
25,Butorphanol,56,ID9
5,Butorphanol,60,ID10
10,Butorphanol,72,ID10
15,Butorphanol,59,ID10
20,Butorphanol,53,ID10
25,Butorphanol,59,ID10
5,Butorphanol,68,ID11
10,Butorphanol,50,ID11
15,Butorphanol,50,ID11
20,Butorphanol,50,ID11
25,Butorphanol,61,ID11
5,Butorphanol,58,ID12
10,Butorphanol,49,ID12
15,Butorphanol,49,ID12
20,Butorphanol,51,ID12
25,Butorphanol,49,ID12
5,Butorphanol,68,ID13
10,Butorphanol,69,ID13
15,Butorphanol,47,ID13
20,Butorphanol,56,ID13
25,Butorphanol,57,ID13
5,Butorphanol,66,ID14
10,Butorphanol,50,ID14
15,Butorphanol,54,ID14
20,Butorphanol,58,ID14
25,Butorphanol,54,ID14
5,Butorphanol,68,ID15
10,Butorphanol,60,ID15
15,Butorphanol,66,ID15
20,Butorphanol,62,ID15
25,Butorphanol,65,ID15
5,Butorphanol,49,ID16
10,Butorphanol,41,ID16
15,Butorphanol,43,ID16
20,Butorphanol,45,ID16
25,Butorphanol,48,ID16
5,Butorphanol,50,ID17
10,Butorphanol,52,ID17
15,Butorphanol,50,ID17
20,Butorphanol,53,ID17
25,Butorphanol,58,ID17
5,Butorphanol,76,ID18
10,Butorphanol,62,ID18
15,Butorphanol,64,ID18
20,Butorphanol,60,ID18
25,Butorphanol,61,ID18
5,Butorphanol,57,ID19
10,Butorphanol,47,ID19
15,Butorphanol,48,ID19
20,Butorphanol,52,ID19
25,Butorphanol,45,ID19
5,Butorphanol,62,ID20
10,Butorphanol,56,ID20
15,Butorphanol,58,ID20
20,Butorphanol,62,ID20
25,Butorphanol,70,ID20
5,Butorphanol,68,ID21
10,Butorphanol,55,ID21
15,Butorphanol,59,ID21
20,Butorphanol,61,ID21
25,Butorphanol,69,ID21
5,Butorphanol,62,ID22
10,Butorphanol,54,ID22
15,Butorphanol,50,ID22
20,Butorphanol,53,ID22
25,Butorphanol,54,ID22
