time_min,intervention,resp_rate,id,supplement
5,Butorphanol+M5050,8,ID1,nothing
10,Butorphanol+M5050,9,ID1,nothing
15,Butorphanol+M5050,9,ID1,nothing
20,Butorphanol+M5050,7,ID1,nothing
5,Butorphanol+M5050,7,ID2,nothing
10,Butorphanol+M5050,13,ID2,nothing
15,Butorphanol+M5050,8,ID2,nothing
20,Butorphanol+M5050,7,ID2,nothing
5,Butorphanol+M5050,6,ID3,nothing
10,Butorphanol+M5050,11,ID3,nothing
15,Butorphanol+M5050,10,ID3,nothing
20,Butorphanol+M5050,6,ID3,nothing
5,Butorphanol+M5050,8,ID4,nothing
10,Butorphanol+M5050,12,ID4,nothing
15,Butorphanol+M5050,10,ID4,nothing
20,Butorphanol+M5050,7,ID4,nothing
5,Butorphanol+M5050,7,ID5,nothing
10,Butorphanol+M5050,8,ID5,nothing
15,Butorphanol+M5050,11,ID5,nothing
20,Butorphanol+M5050,11,ID5,nothing
5,Butorphanol+M5050,5,ID6,nothing
10,Butorphanol+M5050,7,ID6,nothing
15,Butorphanol+M5050,5,ID6,nothing
20,Butorphanol+M5050,5,ID6,nothing
5,Butorphanol+M5050,5,ID7,nothing
10,Butorphanol+M5050,7,ID7,nothing
15,Butorphanol+M5050,7,ID7,nothing
20,Butorphanol+M5050,7,ID7,nothing
5,Butorphanol+M5050,7,ID8,nothing
10,Butorphanol+M5050,9,ID8,nothing
15,Butorphanol+M5050,8,ID8,nothing
20,Butorphanol+M5050,7,ID8,nothing
5,Butorphanol,5,ID1,nothing
10,Butorphanol,10,ID1,nothing
15,Butorphanol,7,ID1,nothing
20,Butorphanol,7,ID1,nothing
5,Butorphanol,7,ID2,nothing
10,Butorphanol,11,ID2,nothing
15,Butorphanol,7,ID2,nothing
20,Butorphanol,7,ID2,nothing
5,Butorphanol,5,ID3,nothing
10,Butorphanol,10,ID3,nothing
15,Butorphanol,7,ID3,nothing
20,Butorphanol,7,ID3,nothing
5,Butorphanol,6,ID4,nothing
10,Butorphanol,8,ID4,nothing
15,Butorphanol,6,ID4,nothing
20,Butorphanol,6,ID4,nothing
5,Butorphanol,6,ID5,nothing
10,Butorphanol,12,ID5,nothing
15,Butorphanol,9,ID5,nothing
20,Butorphanol,9,ID5,nothing
5,Butorphanol,6,ID6,nothing
10,Butorphanol,9,ID6,nothing
15,Butorphanol,8,ID6,nothing
20,Butorphanol,7,ID6,nothing
5,Butorphanol,5,ID7,nothing
10,Butorphanol,8,ID7,nothing
15,Butorphanol,5,ID7,nothing
20,Butorphanol,5,ID7,nothing
5,Butorphanol,6,ID8,nothing
10,Butorphanol,11,ID8,nothing
15,Butorphanol,8,ID8,nothing
20,Butorphanol,8,ID8,nothing
5,Sterile water,5,ID1,nothing
10,Sterile water,8,ID1,nothing
15,Sterile water,5,ID1,nothing
20,Sterile water,7,ID1,nothing
5,Sterile water,7,ID2,nothing
10,Sterile water,7,ID2,nothing
15,Sterile water,6,ID2,nothing
20,Sterile water,5,ID2,nothing
5,Sterile water,5,ID3,nothing
10,Sterile water,6,ID3,nothing
15,Sterile water,5,ID3,nothing
20,Sterile water,5,ID3,nothing
5,Sterile water,7,ID4,nothing
10,Sterile water,10,ID4,nothing
15,Sterile water,8,ID4,nothing
20,Sterile water,6,ID4,nothing
5,Sterile water,4,ID5,nothing
10,Sterile water,7,ID5,nothing
15,Sterile water,8,ID5,nothing
20,Sterile water,8,ID5,nothing
5,Sterile water,9,ID6,nothing
10,Sterile water,9,ID6,nothing
15,Sterile water,9,ID6,nothing
20,Sterile water,8,ID6,nothing
5,Sterile water,8,ID7,nothing
10,Sterile water,5,ID7,nothing
15,Sterile water,4,ID7,nothing
20,Sterile water,4,ID7,nothing
5,Sterile water,6,ID8,nothing
10,Sterile water,5,ID8,nothing
15,Sterile water,5,ID8,nothing
20,Sterile water,4,ID8,nothing
5,Butorphanol+M5050,8,ID1,oxygen
10,Butorphanol+M5050,7,ID1,oxygen
15,Butorphanol+M5050,6,ID1,oxygen
20,Butorphanol+M5050,5,ID1,oxygen
5,Butorphanol+M5050,5,ID2,oxygen
10,Butorphanol+M5050,6,ID2,oxygen
15,Butorphanol+M5050,5,ID2,oxygen
20,Butorphanol+M5050,6,ID2,oxygen
